Date,Price
2015/3/27,1393.825062
2015/3/30,1421.516951
2015/3/31,1407.671006
2015/4/1,1418.055465
2015/4/2,1413.44015
2015/4/3,1353.441058
2015/4/7,1371.902317
2015/4/8,1382.286775
2015/4/9,1351.1334
2015/4/10,1356.902544
2015/4/13,1391.517405
2015/4/14,1416.901636
2015/4/15,1405.363349
2015/4/16,1409.978664
2015/4/17,1445.747353
2015/4/20,1415.747807
2015/4/21,1418.055465
2015/4/22,1441.132039
2015/4/23,1429.593752
2015/4/24,1373.056146
2015/4/27,1363.825516
2015/4/28,1354.594886
2015/4/29,1358.056373
2015/4/30,1406.517178
2015/5/4,1474.593071
2015/5/5,1499.977302
2015/5/6,1569.207024
2015/5/8,1406.517178
2015/5/11,1322.287683
2015/5/13,1108.829375
2015/5/14,1108.829375
2015/5/15,1082.291315
2015/5/18,1118.060004
2015/5/19,1105.367889
2015/5/20,1097.291088
2015/5/21,1100.752574
2015/5/22,1123.829148
2015/5/25,1120.367662
2015/5/26,1118.060004
2015/5/27,1108.829375
2015/5/28,1103.060231
2015/5/29,1131.905949
2015/6/1,1126.136805
2015/6/2,1108.829375
2015/6/3,1118.060004
2015/6/4,1107.675546
2015/6/5,1103.060231
2015/6/8,1106.521717
2015/6/9,1111.137032
2015/6/10,1112.290861
2015/6/11,1109.983203
2015/6/12,1111.137032
2015/6/15,1118.060004
2015/6/16,1116.906176
2015/6/17,1107.675546
2015/6/18,1101.906403
2015/6/19,1105.367889
2015/6/23,1116.906176
2015/6/24,1116.906176
2015/6/25,1111.137032
2015/6/26,1106.521717
2015/6/29,1086.90663
2015/6/30,1058.060912
2015/7/1,1013.061593
2015/7/2,935.7550707
2015/7/3,935.7550707
2015/7/7,1370.748488
2015/7/8,1301.518767
2015/7/9,1347.671914
2015/7/10,1336.133627
2015/7/13,1337.287456
2015/7/14,1037.291996
2015/7/15,1313.057054
2015/7/16,1332.672141
2015/7/20,1332.672141
2015/7/21,1313.057054
2015/7/22,1292.288137
2015/7/23,1300.364938
2015/7/24,1285.365165
2015/7/27,1306.134081
2015/7/28,1289.98048
2015/7/29,1322.287683
2015/7/30,1315.364711
2015/7/31,1292.288137
2015/8/3,1308.441739
2015/8/4,1339.595113
2015/8/5,1333.82597
2015/8/6,1332.672141
2015/8/7,1304.980253
2015/8/10,1318.826197
2015/8/11,1339.595113
2015/8/12,1362.671687
2015/8/13,1390.363576
2015/8/14,1309.595567
2015/8/17,1309.595567
2015/8/18,1314.210882
2015/8/19,1285.365165
2015/8/20,1280.74985
2015/8/21,1343.0566
2015/8/24,1330.364484
2015/8/25,1264.596248
2015/8/26,1281.903679
2015/8/27,1257.673276
2015/8/28,1274.980707
2015/8/31,1300.364938
2015/9/1,1337.287456
2015/9/2,1306.134081
2015/9/3,1306.134081
2015/9/7,1697.282009
2015/9/8,1314.210882
2015/9/9,1295.749623
2015/9/10,1296.903452
2015/9/11,1308.441739
2015/9/15,1407.671006
2015/9/16,1394.978891
2015/9/17,1383.440604
2015/9/18,1406.517178
2015/9/21,1416.901636
2015/9/22,1383.440604
2015/9/23,1366.133173
2015/9/24,1371.902317
2015/9/25,1384.594433
2015/9/28,1367.287002
2015/9/29,1383.440604
2015/9/30,1375.363803
2015/10/1,1377.67146
2015/10/9,1401.901863
2015/10/12,1407.671006
2015/10/13,1420.363122
2015/10/14,1401.901863
2015/10/15,1403.055692
2015/10/16,1384.594433
2015/10/19,1376.517632
2015/10/20,1407.671006
2015/10/21,1354.594886
2015/10/22,1378.825289
2015/10/23,1376.517632
2015/10/26,1418.055465
2015/10/27,1418.055465
2015/10/30,1390.363576
2015/11/2,1397.286548
2015/11/3,1400.748034
2015/11/4,1397.286548
2015/11/9,1403.055692
2015/11/10,1379.979118
2015/11/12,1373.056146
2015/11/18,1411.132492
2015/11/19,1386.90209
2015/11/24,1373.056146
2015/11/25,1408.824835
2015/11/26,1411.132492
2015/11/27,1384.594433
2015/11/30,1369.59466
2015/12/1,1364.979345
2015/12/2,1374.209974
2015/12/3,1341.902771
2015/12/4,1360.36403
2015/12/7,1354.594886
2015/12/8,1367.287002
2015/12/9,1378.825289
2015/12/11,1338.441285
2015/12/17,1382.286775
2015/12/18,1413.44015
2015/12/21,1366.133173
2015/12/22,1299.211109
2015/12/24,1142.290407
2015/12/25,1259.980934
2015/12/28,1223.058415
2015/12/29,1254.21179
2015/12/30,1307.28791
2015/12/31,1205.750985
2016/1/4,1205.750985
2016/1/5,1130.75212
2016/1/6,1197.674184
2016/1/8,1197.674184
2016/1/11,1126.136805
2016/1/12,1059.214741
2016/1/13,1097.291088
2016/1/14,1097.291088
2016/1/15,1128.444463
2016/1/19,1052.291769
2016/1/20,1053.445597
2016/1/21,1069.599199
2016/1/22,1067.291542
2016/1/25,1063.830056
2016/1/26,1032.676681
2016/1/28,1078.829829
2016/1/29,1062.676227
2016/2/2,1092.675773
2016/2/3,1092.675773
2016/2/4,1092.675773
2016/2/15,988.8311906
2016/2/16,970.3699315
2016/2/17,994.600334
2016/2/18,1031.522852
2016/2/19,999.2156488
2016/2/22,1040.753482
2016/2/23,1022.292223
2016/2/24,1052.291769
2016/2/25,1038.445824
2016/2/26,1036.138167
2016/2/29,1038.445824
2016/3/1,940.3703854
2016/3/2,940.3703854
2016/3/3,940.3703854
2016/3/7,940.3703854
2016/3/8,940.3703854
2016/3/9,940.3703854
2016/3/10,995.7541627
2016/3/11,995.7541627
2016/3/14,940.3703854
2016/3/15,938.062728
2016/3/25,1472.285413
2016/3/28,1542.668964
2016/3/29,1407.671006
2016/3/30,1407.671006
2016/3/31,1407.671006
2016/4/1,1491.900501
2016/4/5,1573.822338
2016/4/6,1699.589666
2016/4/8,1903.817345
2016/4/11,1903.817345
2016/4/12,1903.817345
2016/4/13,1903.817345
2016/4/14,1903.817345
2016/4/15,1153.828694
2016/4/18,1153.828694
2016/4/19,1153.828694
2016/4/20,1153.828694
2016/4/21,1153.828694
2016/4/22,1153.828694
2016/4/25,1153.828694
2016/4/26,1153.828694
2016/4/27,1153.828694
2016/4/29,1210.3663
2016/5/3,1210.3663
